Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Tanzania,Africa,59583009,509,0,21,0,183,0,305,7,9,0.4,0,0
Uganda,Africa,45610068,489,0,0,0,82,0,407,0,11,0,96825,2123
Sao Tome and Principe,Africa,218820,484,0,12,0,68,0,404,0,2212,55,175,800
Réunion,Africa,894819,477,0,1,0,411,0,65,1,533,1,17200,19222
Cabo Verde,Africa,555509,466,0,5,0,237,0,224,0,839,9,1307,2353
Palestine,Asia,5091224,451,0,3,0,372,0,76,0,89,0.6,44876,8814
Togo,Africa,8262031,445,0,13,0,230,0,202,0,54,2,20948,2535
Taiwan,Asia,23813566,443,0,7,0,428,1,8,0,19,0.3,72683,3052
Yemen,Asia,29769965,399,0,87,0,15,0,297,0,13,3,120,4
Rwanda,Africa,12924353,384,0,2,0,269,0,113,0,30,0.2,70108,5424
Malawi,Africa,19086759,358,0,4,0,42,0,312,1,19,0.2,5049,265
Isle of Man,Europe,84999,336,0,24,0,311,0,1,0,3953,282,5003,58860
Mauritius,Africa,1271611,335,0,10,0,322,0,3,0,263,8,122008,95948
Vietnam,Asia,97270089,328,0,0,0,298,0,30,1,3,0,275000,2827
Montenegro,Europe,628060,324,0,9,0,315,0,0,0,516,14,10167,16188
Liberia,Africa,5047450,311,0,28,0,167,0,116,0,62,6,0,0
Mozambique,Africa,31177845,307,0,2,0,98,0,207,0,10,0.06,11239,360
Eswatini,Africa,1159216,294,0,3,0,198,0,93,0,254,3,4994,4308
Benin,Africa,12095391,244,0,3,0,148,0,93,0,20,0.2,34682,2867
Myanmar,Asia,54381717,233,1,6,0,143,0,84,0,4,0.1,28304,520
Zimbabwe,Africa,14845362,206,0,4,0,29,0,173,0,14,0.3,46613,3140
Martinique,North America,375286,200,0,14,0,98,0,88,0,533,37,0,0
Faeroe Islands,Europe,48849,187,0,0,0,187,0,0,0,3828,0,9677,198100
Mongolia,Asia,3273961,185,0,0,0,44,0,141,19,57,0,14623,4466
Libya,Africa,6863756,182,0,5,0,52,0,125,0,27,0.7,6206,904
Gibraltar,Europe,33692,172,0,0,0,151,0,21,0,5105,0,7879,233854
Guadeloupe,North America,400119,162,0,14,0,138,0,10,1,405,35,4137,10339
Guyana,South America,786264,153,0,12,0,70,0,71,2,195,15,1658,2109
Cayman Islands,North America,65661,151,0,1,0,77,0,73,0,2300,15,12003,182803
Bermuda,North America,62294,141,0,9,0,113,0,19,2,2263,144,7649,122789
Brunei ,Asia,437150,141,0,2,0,138,0,1,1,323,5,19624,44891
Comoros,Africa,868029,132,0,2,0,27,0,103,0,152,2,0,0
Cambodia,Asia,16700273,125,0,0,0,123,0,2,1,7,0,21517,1288
Syria,Asia,17463880,123,0,6,0,50,0,67,0,7,0.3,0,0
Trinidad and Tobago,North America,1399147,117,0,8,0,108,0,1,0,84,6,3195,2284
Bahamas,North America,392949,102,0,11,0,49,0,42,1,260,28,2101,5347
Aruba,North America,106732,101,0,3,0,98,0,0,0,946,28,2134,19994
